lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber,date
121.59643633333333,31.154603333333334,3,浦东新区,张江镇,[],[],韩钱路,2022-05-12
121.48292507142857,31.212983714285713,14,黄浦区,老西门街道,上海沪南体育活动中心,华联超市(大吉店),方斜路,2022-05-12
121.45221214285715,31.311992,7,静安区,彭浦新村街道,[],[],平顺路,2022-05-12
121.299718,31.188964249999998,4,青浦区,徐泾镇,[],[],盈港东路,2022-05-12
121.57879225,31.26376925,4,浦东新区,沪东新村街道,博三、兰城小区,[],长岛路,2022-05-12
121.771987,31.064096,1,浦东新区,惠南镇,[],[],拱乐路,2022-05-12
121.50040571428572,31.13190057142857,7,浦东新区,三林镇,[],[],三鲁公路,2022-05-12
121.543108625,31.2915830625,16,杨浦区,长白新村街道,延吉东路130弄小区,[],延吉东路,2022-05-12
121.3099565,31.0040025,2,松江区,车墩镇,[],[],影振路,2022-05-12
121.393584,31.176463,2,闵行区,虹桥镇,虹梅路2669弄小区,[],虹梅路,2022-05-12
121.693028,31.258219,3,浦东新区,曹路镇,[],[],龚丰路,2022-05-12
121.46578425,31.2545528125,16,静安区,芷江西路街道,上海市闸北体育中心,上海市闸北区精英青少年俱乐部,中华新路,2022-05-12
121.104254,31.170589,1,青浦区,香花桥街道,[],[],胜利路,2022-05-12
121.517153,30.857165,1,奉贤区,海湾镇,[],[],奉柘公路,2022-05-12
121.940791,30.876652,1,浦东新区,南汇新城镇,[],[],[],2022-05-12
121.374853,31.1063724,5,闵行区,莘庄镇,东苑世纪名门,[],莘松路,2022-05-12
121.31672566666666,31.305795,3,嘉定区,南翔镇,[],[],芳林路,2022-05-12
121.54450983333334,31.164812,6,浦东新区,北蔡镇,[],[],下南路,2022-05-12
121.532307,31.2611455,8,杨浦区,大桥街道,平凉路1115弄小区,[],平凉路,2022-05-12
121.233929,31.104642,1,松江区,泗泾镇,[],[],古楼公路,2022-05-12
121.157331,31.370308,1,嘉定区,外冈镇,[],[],喜泉路,2022-05-12
121.39839825,31.25234475,4,普陀区,真如镇街道,[],[],大渡河路,2022-05-12
121.51896772727272,31.314009454545456,11,杨浦区,长海路街道,[],[],民府路,2022-05-12
121.53535033333333,31.053316333333335,3,闵行区,浦江镇,[],[],江协路,2022-05-12
121.48865214285715,31.171863285714284,7,浦东新区,上钢新村街道,[],[],长清路,2022-05-12
