lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber,date
121.49007214864865,31.20531197297297,74,黄浦区,半淞园路街道,[],华宜切面,保屯路,2022-05-05
121.22429733333333,31.204596000000002,3,青浦区,华新镇,[],[],叙北路,2022-05-05
121.56847093333333,31.2544166,15,浦东新区,金杨新村街道,[],[],云山路,2022-05-05
121.81437550000001,30.892566000000002,2,浦东新区,泥城镇,[],[],泥城路,2022-05-05
121.33954128571429,31.097255142857144,7,松江区,新桥镇,阳光花园,[],莘松路,2022-05-05
121.43518305555556,31.26884311111111,17,普陀区,甘泉路街道,[],[],沪太路,2022-05-05
121.61239283333333,31.14238466666667,6,浦东新区,康桥镇,[],[],创业路,2022-05-05
121.22492875,31.378414499999998,4,嘉定区,菊园新区,[],[],盘安路,2022-05-05
121.66335442857142,31.281434285714287,7,浦东新区,曹路镇,[],[],川沙路,2022-05-05
121.2750796,31.0183706,5,松江区,中山街道,[],[],华加路,2022-05-05
121.54376388235293,31.17345876470588,17,浦东新区,北蔡镇,[],[],下南路,2022-05-05
121.53743264705882,31.31443905882353,17,杨浦区,殷行街道,[],[],嫩江路,2022-05-05
121.290649,31.198852875,8,青浦区,徐泾镇,[],[],金丰路,2022-05-05
121.48564749411764,31.215541811764705,85,黄浦区,老西门街道,[],[],西藏南路,2022-05-05
121.56355114285714,31.122977285714285,7,浦东新区,康桥镇,双秀家园,[],梓康路,2022-05-05
121.6538454,31.2286806,5,浦东新区,唐镇,[],[],龙东高架路辅路,2022-05-05
121.617932,31.545925,1,崇明区,堡镇,[],[],大通路,2022-05-05
121.42450836363636,31.175660636363638,11,徐汇区,田林街道,[],[],宜山路,2022-05-05
121.317295,31.2590655,4,嘉定区,江桥镇,[],[],金园四路,2022-05-05
121.51627684615384,31.273116384615385,26,杨浦区,江浦路街道,[],[],双辽路,2022-05-05
121.44090825,31.10818525,4,闵行区,梅陇镇,[],[],龙联路,2022-05-05
121.597016,30.990492,1,奉贤区,金汇镇,[],[],航塘公路,2022-05-05
121.43695721739131,31.22993208695652,23,静安区,曹家渡街道,瀚林府邸,[],武宁南路,2022-05-05
121.46287268085106,31.25307540425532,47,静安区,芷江西路街道,中兴财富国际公寓,[],中华新路,2022-05-05
121.844648,31.482258,1,崇明区,陈家镇,[],[],[],2022-05-05
121.52036814285714,31.22667292857143,28,浦东新区,潍坊新村街道,繁荣昌盛小区,新荣大楼,张杨路,2022-05-05
121.773979,31.126931,1,浦东新区,祝桥镇,[],[],祝潘公路,2022-05-05
121.240663,31.109045,3,松江区,泗泾镇,[],[],新家园路,2022-05-05
121.5203252,31.1276066,10,浦东新区,三林镇,[],[],上南路,2022-05-05
121.392456,31.643407,1,崇明区,城桥镇,[],[],官山路,2022-05-05
121.39425466666667,31.020341166666668,6,闵行区,马桥镇,[],[],剑川路,2022-05-05
121.45956707142857,31.314380571428572,14,静安区,临汾路街道,宝德路425弄小区,[],阳曲路,2022-05-05
121.3871355,31.2651065,6,普陀区,真如镇街道,[],[],清涧路,2022-05-05
121.735941,31.373625,1,崇明区,长兴镇,[],[],长凯路,2022-05-05
