lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber,date
121.48635060240964,31.204576204819276,81,黄浦区,半淞园路街道,[],[],西凌家宅路,2022-05-04
121.31346615384615,31.159737076923076,13,青浦区,徐泾镇,[],[],徐南路,2022-05-04
121.59048755,31.274764,20,浦东新区,浦兴路街道,[],[],利津路,2022-05-04
121.63683333333333,31.099656666666668,3,浦东新区,周浦镇,[],[],蓝靛路,2022-05-04
121.5153594,31.28688015,20,杨浦区,五角场街道,[],[],政本路,2022-05-04
121.867111,30.883303333333334,3,浦东新区,南汇新城镇,[],[],同顺大道,2022-05-04
121.45072802083334,31.2634805625,48,静安区,共和新路街道,[],洛川中路1100弄37号,普善路,2022-05-04
121.269957,31.330198714285714,7,嘉定区,马陆镇,[],[],封周路,2022-05-04
121.44622552631579,31.161478684210525,19,徐汇区,漕河泾街道,[],[],武宣路,2022-05-04
121.12915725,31.02939975,4,松江区,小昆山镇,[],[],文翔路,2022-05-04
121.54206268,31.16798184,25,浦东新区,北蔡镇,文汇小区(下南路),[],下南路,2022-05-04
121.31386233333333,31.0153685,6,松江区,车墩镇,[],[],虬长路,2022-05-04
121.68768385714286,31.237554,7,浦东新区,唐镇,[],[],新雅东路,2022-05-04
121.479742,31.673305,1,崇明区,东平林场,东平国家森林公园,[],北沿公路,2022-05-04
121.49643461111111,31.127704166666668,18,浦东新区,三林镇,[],[],三彩路,2022-05-04
121.2721564,31.2159754,5,闵行区,华漕镇,[],[],朱建路,2022-05-04
121.32081130769231,31.24467246153846,13,嘉定区,江桥镇,[],[],金运路,2022-05-04
121.2467006,31.0641196,5,松江区,中山街道,[],[],茸盛路,2022-05-04
121.48550544827586,31.232319068965516,29,黄浦区,外滩街道,[],黄浦体育中心综合办公楼,山东中路,2022-05-04
121.735941,31.373625,1,崇明区,长兴镇,[],[],长凯路,2022-05-04
121.4047475,31.076823,8,闵行区,颛桥镇,[],[],贵都路,2022-05-04
121.59263899999999,31.062455,2,浦东新区,航头镇,[],[],鹤楼路,2022-05-04
121.5415805,31.313322636363637,22,杨浦区,殷行街道,双百花苑,[],民星路,2022-05-04
121.52246546153846,31.225520487179487,39,浦东新区,潍坊新村街道,[],上海交通通信有限公司(崂东居委红十字卫生站东北),潍坊路,2022-05-04
121.4382136,31.306275266666667,15,静安区,彭浦新村街道,[],[],场中路,2022-05-04
121.44147564705882,31.23488926470588,34,静安区,江宁路街道,[],[],常德路,2022-05-04
121.67143118181818,31.284360545454547,11,浦东新区,曹路镇,[],[],海鸣路,2022-05-04
121.079469,31.255359,1,青浦区,白鹤镇,[],[],白石公路,2022-05-04
121.45062958064516,31.186804387096775,32,徐汇区,枫林路街道,东安四村,[],宛平南路,2022-05-04
121.56430442857143,31.126959714285714,7,浦东新区,康桥镇,绿宝园,[],秀浦路,2022-05-04
121.844648,31.482258,1,崇明区,陈家镇,[],[],[],2022-05-04
121.751216,31.140394,1,浦东新区,祝桥镇,[],[],施湾三路,2022-05-04
121.47068448275861,31.252614931034483,29,静安区,宝山路街道,[],[],西藏北路,2022-05-04
121.54639645454546,31.192162272727273,11,浦东新区,花木街道,[],[],高科西路,2022-05-04
121.63056218181818,31.313007181818183,11,浦东新区,高东镇,杨园七村,[],赵高公路,2022-05-04
121.54788785,31.2730885,20,杨浦区,定海路街道,[],[],平凉路,2022-05-04
121.63546025,31.191471875,8,浦东新区,张江镇,[],[],高科中路,2022-05-04
121.206434,31.00558175,4,松江区,永丰街道,[],[],化工路,2022-05-04
121.26032433333333,31.110584,6,松江区,泗泾镇,[],[],横港公路,2022-05-04
121.370196375,31.11316625,8,闵行区,莘庄镇,[],[],莘北路,2022-05-04
121.617932,31.545925,1,崇明区,堡镇,[],[],大通路,2022-05-04
121.444166875,31.123424125,8,徐汇区,华泾镇,[],[],徐梅路,2022-05-04
121.46824263043479,31.222097891304347,46,黄浦区,瑞金二路街道,[],[],长乐路,2022-05-04
121.51766218181818,31.193443045454543,22,浦东新区,南码头路街道,[],[],东方路,2022-05-04
121.392456,31.643407,1,崇明区,城桥镇,[],[],官山路,2022-05-04
121.72126540000001,31.2073158,5,浦东新区,合庆镇,[],[],华夏东路,2022-05-04
121.91747649999999,30.8841355,2,浦东新区,南汇新城镇,[],[],古棕路,2022-05-04
121.5679365,31.2487117,20,浦东新区,金杨新村街道,住友名人花园,[],德平路张扬路,2022-05-04
121.57344336363636,31.160852181818182,11,浦东新区,北蔡镇,[],[],御桥路,2022-05-04
121.45821906666667,31.311868,15,静安区,临汾路街道,星城花苑,[],临汾路,2022-05-04
121.57319914285715,31.342240571428572,7,浦东新区,高桥镇,潼港五村,[],清溪路,2022-05-04
121.154924,31.296688,1,嘉定区,安亭镇,[],乐语通讯(新源路),新源路,2022-05-04
121.5143405,31.0865975,2,闵行区,浦江镇,[],[],恒南路,2022-05-04
121.42314377777778,31.18318,18,徐汇区,田林街道,[],[],钦州北路,2022-05-04
121.49317691666667,31.160701833333334,12,浦东新区,三林镇,[],[],杨思路,2022-05-04
121.39221075,31.276094999999998,4,普陀区,桃浦镇,[],[],武威东路,2022-05-04
121.48591366666666,31.215254126984128,63,黄浦区,老西门街道,[],[],安澜路,2022-05-04
121.29553766666666,31.0320505,6,松江区,车墩镇,[],[],茸江路,2022-05-04
121.441203,31.281824222222223,18,静安区,彭浦镇,[],[],灵石路,2022-05-04
121.7425165,31.0799785,2,浦东新区,祝桥镇,[],[],浦红西路,2022-05-04
121.32857322222222,31.139889,9,松江区,九亭镇,[],[],蒲汇路,2022-05-04
