lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber,date
121.47675611372549,31.23473180392157,255,黄浦区,南京东路街道,[],新雅粤菜馆(总店),贵州路,2022-04-23
121.57222905405405,31.157388486486486,37,浦东新区,北蔡镇,F欧香四季(地杰国际城北),[],御青路,2022-04-23
121.39072912500001,31.43636395,40,宝山区,月浦镇,[],[],联水路,2022-04-23
121.2821998095238,31.12644614285714,21,松江区,泗泾镇,[],[],泗博路,2022-04-23
121.60193761290323,31.267339403225808,62,浦东新区,浦兴路街道,[],[],东陆路,2022-04-23
121.46372718918919,31.333861324324324,74,宝山区,淞南镇,[],[],江杨南路,2022-04-23
121.76179695833333,31.048874208333334,24,浦东新区,惠南镇,[],[],城东路,2022-04-23
121.42060290322581,31.166700241935484,62,徐汇区,康健新村街道,[],[],漕宝路,2022-04-23
121.3503351764706,31.25592776470588,34,嘉定区,真新街道,[],[],曹安公路,2022-04-23
121.69271446,31.248129080000002,50,浦东新区,合庆镇,[],[],庆达路,2022-04-23
121.30067045238096,31.015447333333334,42,松江区,中山街道,[],[],三庄路,2022-04-23
121.5424853373494,31.28754101204819,83,杨浦区,延吉新村街道,[],[],敦化路,2022-04-23
121.1998557,31.2988846,10,嘉定区,安亭镇,[],[],园海路,2022-04-23
121.51603063636364,31.190977767676767,99,浦东新区,南码头路街道,[],[],浦三路,2022-04-23
121.39517995774648,31.311935704225352,71,宝山区,大场镇,[],[],南陈路,2022-04-23
121.46053183333333,31.115843166666668,30,徐汇区,华泾镇,[],[],华济路,2022-04-23
121.69601371428571,31.192954214285713,42,浦东新区,川沙新镇,[],[],新川路,2022-04-23
121.47951033125,31.20344418125,159,黄浦区,五里桥街道,[],安佳公寓,五里桥路,2022-04-23
121.903507,30.886636666666668,3,浦东新区,南汇新城镇,[],[],橄榄路,2022-04-23
121.11799492307692,31.14703653846154,13,青浦区,夏阳街道,[],[],救护大队路,2022-04-23
121.26326535294118,31.38633294117647,17,嘉定区,新成路街道,迎园十三坊,迎园新村十三坊12号,嘉罗公路,2022-04-23
121.39940351515152,31.357360818181817,33,宝山区,顾村镇,[],[],宝安公路,2022-04-23
121.49945721428571,31.13470585714286,70,浦东新区,三林镇,[],[],长清路,2022-04-23
121.48235744444445,31.36984846031746,63,宝山区,杨行镇,[],[],泰和路,2022-04-23
121.65230918181818,31.269477,33,浦东新区,曹路镇,民腾苑(民耀路),[],民同路,2022-04-23
121.55926065957446,31.190222734042553,94,浦东新区,北蔡镇,环龙公寓,恒灵实业有限公司,白杨路,2022-04-23
121.50340293975904,31.30749286746988,83,杨浦区,五角场街道,国定路700弄小区,[],政立路,2022-04-23
