lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber,date
121.478606625,31.23333675,8,黄浦区,南京东路街道,中福城(同兴大楼西北),君安桌球,浙江中路,2022-05-10
121.2994935,31.191912,4,青浦区,徐泾镇,[],[],诸光路,2022-05-10
121.65866,31.169914,1,浦东新区,川沙新镇,[],[],长美路,2022-05-10
121.578743,31.2779545,2,浦东新区,沪东新村街道,[],中国石化上海高桥分公司(利津路),利津路,2022-05-10
121.23352750000001,31.018414,2,松江区,岳阳街道,[],[],荣乐中路,2022-05-10
121.546092,31.11754,1,浦东新区,康桥镇,[],[],上南路,2022-05-10
121.45119176470588,31.259233176470588,17,静安区,共和新路街道,[],[],中山北路,2022-05-10
121.433216,31.122304,1,闵行区,梅陇镇,[],[],兴南路,2022-05-10
121.47848611111111,31.209378,18,黄浦区,打浦桥街道,永业公寓,嘉昊教育,徐家汇路,2022-05-10
121.1033435,31.169986,2,青浦区,香花桥街道,[],[],清河湾路,2022-05-10
121.860297,31.026394,1,浦东新区,老港镇,[],[],火箭路,2022-05-10
121.426399,30.810405,1,金山区,漕泾镇,[],[],庄胡公路,2022-05-10
121.5446465,31.2065015,2,浦东新区,花木街道,[],[],牡丹路,2022-05-10
121.617932,31.545925,1,崇明区,堡镇,[],[],大通路,2022-05-10
121.53329049999999,31.329828,2,杨浦区,殷行街道,中原纪联小区,中原纪联小区,中原路,2022-05-10
121.68792133333334,31.265982,3,浦东新区,曹路镇,[],[],银峰路,2022-05-10
121.41527133333334,31.2317,3,普陀区,长风新村街道,[],白玉新村,宁夏路,2022-05-10
121.59608833333333,31.069047333333334,3,浦东新区,航头镇,[],[],鹤洁路,2022-05-10
121.217832,31.326953,1,嘉定区,安亭镇,[],[],东环路,2022-05-10
121.43251975,31.2945655,4,静安区,彭浦镇,[],[],交城路,2022-05-10
121.631647,31.321579,3,浦东新区,高东镇,[],[],洲海路,2022-05-10
121.525804125,31.280717375,8,杨浦区,控江路街道,东方名园,延吉中路555弄8号,靖宇南路,2022-05-10
121.31779966666667,31.138656666666666,3,松江区,九里亭街道,[],[],沪松公路,2022-05-10
121.44557215384616,31.237636,13,静安区,江宁路街道,东海园,静工园,海防路,2022-05-10
121.408857,31.046774,2,闵行区,颛桥镇,[],[],沪闵公路,2022-05-10
121.5178205,31.13000475,4,浦东新区,三林镇,[],[],上南路,2022-05-10
121.47567523076923,31.25644346153846,13,静安区,宝山路街道,[],[],临山路,2022-05-10
121.47432295454546,31.198724272727272,22,黄浦区,五里桥街道,[],[],瞿溪路,2022-05-10
121.274455,31.02487,2,松江区,中山街道,[],[],荣乐东路,2022-05-10
121.590004,31.225477666666666,3,浦东新区,金桥镇,[],[],金科路,2022-05-10
121.42390325,31.16326475,4,徐汇区,康健新村街道,[],康健园,冠生园路,2022-05-10
121.55753725,31.178886,4,浦东新区,北蔡镇,[],[],新陈路,2022-05-10
121.693879,31.101995,1,浦东新区,川沙新镇,[],[],鹿吉路,2022-05-10
121.139543,31.033059,1,松江区,小昆山镇,[],[],昆港公路,2022-05-10
121.49504810526317,31.208721368421052,19,黄浦区,半淞园路街道,东物公寓,[],国货路,2022-05-10
121.60583266666667,31.131212666666666,3,浦东新区,康桥镇,[],[],秀浦路,2022-05-10
121.5746934,31.340871,5,浦东新区,高桥镇,潼港二村,[],和龙路,2022-05-10
121.771987,31.064096,1,浦东新区,惠南镇,[],[],拱乐路,2022-05-10
121.346498,31.254337,1,嘉定区,江桥镇,[],[],曲江路,2022-05-10
121.54993933333333,31.309229666666667,3,杨浦区,长海路街道,[],[],翔殷路,2022-05-10
121.56401483333333,31.254022833333334,6,浦东新区,金杨新村街道,[],[],居家桥路,2022-05-10
121.41307025,31.256490499999998,4,普陀区,石泉路街道,[],[],府村路,2022-05-10
121.51411049999999,31.170556,2,浦东新区,周家渡街道,[],[],东明路,2022-05-10
121.51462933333333,31.235973333333334,3,浦东新区,陆家嘴街道,招远小区,[],栖霞路,2022-05-10
121.443587,31.308792333333333,3,静安区,彭浦新村街道,闻喜路1110弄小区,[],临汾路,2022-05-10
121.355258,31.098366,1,松江区,新桥镇,百佳花园,[],莘松路,2022-05-10
121.4679566923077,31.261072692307692,13,静安区,宝山路街道,止园小区,[],止园路,2022-05-10
121.6899055,31.1985295,2,浦东新区,川沙新镇,[],[],妙境路,2022-05-10
121.283066,31.341112,1,嘉定区,马陆镇,[],[],沪宜公路,2022-05-10
121.5140615,31.3142535,2,杨浦区,长海路街道,[],[],民府路,2022-05-10
121.59013350000001,31.0258195,2,浦东新区,航头镇,[],[],航鹤路,2022-05-10
121.5960048,31.2577194,5,浦东新区,浦兴路街道,清水苑(台儿庄路),[],胶东路,2022-05-10
121.67355533333334,31.292092,3,浦东新区,曹路镇,[],[],金睦路,2022-05-10
121.64085,31.058527,1,浦东新区,新场镇,[],[],坦仁路,2022-05-10
121.631689,31.285219,1,浦东新区,曹路镇,[],[],陈邵路,2022-05-10
121.46111114285715,31.216613428571428,7,黄浦区,瑞金二路街道,淮海坊,淮海坊,茂名南路,2022-05-10
121.354182,31.183467,1,长宁区,程家桥街道,虹桥机场新村,[],迎宾三路,2022-05-10
121.45440971428572,31.190759571428572,7,徐汇区,枫林路街道,[],[],零陵路,2022-05-10
121.27442733333334,31.170296,3,青浦区,徐泾镇,[],[],京华路,2022-05-10
