lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber,date
121.29381975,31.20877525,12,闵行区,华漕镇,[],[],繁兴路,2022-05-03
121.56238847368421,31.249092842105263,19,浦东新区,金杨新村街道,[],[],德平路,2022-05-03
121.48810545945946,31.204729216216215,74,黄浦区,半淞园路街道,[],[],西藏南路,2022-05-03
121.795539,30.985474,1,浦东新区,大团镇,[],[],东大公路,2022-05-03
121.46075486206897,31.214955137931035,29,黄浦区,瑞金二路街道,陕南村,[],南昌路,2022-05-03
121.5328208,31.0983292,5,闵行区,浦江镇,[],[],勤劳路,2022-05-03
121.69275433333334,31.249542,6,浦东新区,曹路镇,[],[],庆达路,2022-05-03
121.47034390697674,31.250145511627906,43,静安区,宝山路街道,[],[],西藏北路,2022-05-03
121.34390622222223,31.107597555555554,9,松江区,九亭镇,[],[],姚北路,2022-05-03
121.51205291666666,31.305228458333332,24,杨浦区,五角场街道,[],[],淞沪路,2022-05-03
121.56157057142858,31.185195357142856,28,浦东新区,北蔡镇,莲馨苑,[],莲园路,2022-05-03
121.32244,31.295306500000002,2,嘉定区,南翔镇,[],[],佳通支路,2022-05-03
121.49618807692308,31.166275884615384,26,浦东新区,上钢新村街道,[],[],上南路,2022-05-03
121.27427,30.927242,1,松江区,叶榭镇,[],[],镇南路,2022-05-03
121.479742,31.673305,1,崇明区,东平林场,东平国家森林公园,[],北沿公路,2022-05-03
121.27826133333333,31.025617666666665,6,松江区,中山街道,[],[],松胜路,2022-05-03
121.45479905,31.3114948,20,静安区,彭浦新村街道,平顺小区,[],岭南路,2022-05-03
121.58663257142857,31.089613285714286,7,浦东新区,周浦镇,[],[],瑞浦路,2022-05-03
121.4411356,31.1691194,10,徐汇区,漕河泾街道,[],[],龙漕路,2022-05-03
121.158635,31.278538,1,嘉定区,安亭镇,[],[],博园路,2022-05-03
121.844648,31.482258,1,崇明区,陈家镇,[],[],[],2022-05-03
121.54183184210527,31.28350905263158,38,杨浦区,延吉新村街道,[],[],水丰路,2022-05-03
121.318158,31.429186,1,嘉定区,徐行镇,[],[],红星路,2022-05-03
121.51879379310346,31.228966448275862,29,浦东新区,陆家嘴街道,[],传奇桌球,南泉北路,2022-05-03
121.44882646875,31.27039696875,32,静安区,彭浦镇,[],[],万荣路,2022-05-03
121.63286155555555,31.315684222222224,9,浦东新区,高东镇,欣连苑,[],新园路,2022-05-03
121.47109900000001,30.93403,2,奉贤区,奉浦街道,[],[],贤韵路,2022-05-03
121.418268625,31.1096,8,闵行区,梅陇镇,[],[],春申路,2022-05-03
121.58979383333333,31.032068000000002,6,浦东新区,航头镇,[],[],航头路,2022-05-03
121.64741657142856,31.207570142857143,7,浦东新区,唐镇,[],[],唐丰路,2022-05-03
121.617932,31.545925,1,崇明区,堡镇,[],[],大通路,2022-05-03
121.133593,31.031221000000002,2,松江区,小昆山镇,[],[],平原街,2022-05-03
121.7508095,31.1303005,2,浦东新区,祝桥镇,[],[],凌空路,2022-05-03
121.57556775,31.345134124999998,8,浦东新区,高桥镇,[],[],张杨北路,2022-05-03
121.7862685,31.340782,2,崇明区,长兴镇,[],[],潘圆公路,2022-05-03
121.918667,30.881913,1,浦东新区,南汇新城镇,[],[],马樱丹路,2022-05-03
121.43740517142857,31.23083445714286,35,静安区,曹家渡街道,静安阳光华庭,逸阁大楼,康定路,2022-05-03
121.48342591208791,31.23539768131868,91,黄浦区,外滩街道,[],[],汉口路,2022-05-03
121.375962,31.249475666666665,3,嘉定区,真新街道,[],[],曹安路,2022-05-03
121.363572,31.1794495,4,闵行区,虹桥镇,龙柏四村(红松路),[],红松路,2022-05-03
121.31974857142856,31.142018142857143,7,松江区,九里亭街道,[],聚友酒家(沪亭北路),沪亭北路,2022-05-03
121.6072016,31.150063799999998,10,浦东新区,康桥镇,[],[],康桥路,2022-05-03
121.82009049999999,30.898331,2,浦东新区,泥城镇,[],[],泥城路,2022-05-03
121.51994575,31.1332535,8,浦东新区,三林镇,[],[],林鸣路,2022-05-03
121.59023857142857,31.273773285714284,14,浦东新区,浦兴路街道,沪东花苑,[],菏泽路,2022-05-03
121.53826905555556,31.31467911111111,18,杨浦区,殷行街道,[],[],嫩江路,2022-05-03
121.52676046428572,31.283577107142857,28,杨浦区,控江路街道,控江二村107弄小区,[],靖宇中路,2022-05-03
121.48733044736842,31.21674580263158,76,黄浦区,老西门街道,中华坊小区,[],江阴街,2022-05-03
121.257041,31.096422333333333,3,松江区,洞泾镇,[],[],洞业路,2022-05-03
121.5383335,31.170898363636365,22,浦东新区,北蔡镇,[],[],顾全路,2022-05-03
121.66167092307693,31.282636076923076,13,浦东新区,曹路镇,[],[],华东路,2022-05-03
121.26428150000001,31.356078,2,嘉定区,马陆镇,[],[],远香湖路,2022-05-03
121.45224059375,31.1882908125,32,徐汇区,枫林路街道,[],[],零陵路,2022-05-03
121.36985,31.03995,1,闵行区,马桥镇,[],[],元江路,2022-05-03
121.41095341666667,31.147212083333333,12,徐汇区,康健新村街道,[],[],江安路,2022-05-03
121.3288689,31.2435923,10,嘉定区,江桥镇,[],[],华江路,2022-05-03
121.4199318125,31.2577260625,16,普陀区,石泉路街道,[],[],铜川路,2022-05-03
121.1919565,31.2182935,2,青浦区,重固镇,[],[],秀横路,2022-05-03
121.49297838461538,31.30974523076923,13,杨浦区,五角场街道,[],三门路358弄40号,逸仙路,2022-05-03
121.64673166666667,31.239114666666666,6,浦东新区,唐镇,[],[],洁雅路,2022-05-03
121.21682799999999,31.008779500000003,2,松江区,永丰街道,[],[],永丰路,2022-05-03
121.473719,31.202798104477612,67,黄浦区,打浦桥街道,[],[],斜土路,2022-05-03
121.43193321428572,31.293581071428573,14,静安区,彭浦镇,[],[],交城路,2022-05-03
121.56734509090909,31.140155727272727,11,浦东新区,康桥镇,[],[],沪南公路,2022-05-03
121.2684368,31.1790606,5,青浦区,徐泾镇,[],[],诸陆西路,2022-05-03
