lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber,date
121.56436094117647,31.184528235294117,68,浦东新区,北蔡镇,[],[],北中路,2022-04-20
121.2893774090909,31.181853272727274,22,青浦区,徐泾镇,[],[],盈港东路,2022-04-20
121.46745943971631,31.222206716312055,141,黄浦区,瑞金二路街道,[],[],长乐路,2022-04-20
121.45930147826087,31.31905793478261,46,静安区,临汾路街道,[],[],阳曲路,2022-04-20
121.277724,30.740558,1,金山区,金山卫镇,[],[],金石南路,2022-04-20
121.30538581395349,31.018152744186047,43,松江区,中山街道,[],[],新车公路,2022-04-20
121.85505883333333,30.988947666666668,6,浦东新区,书院镇,[],[],定武路,2022-04-20
121.268795,31.3308303125,16,嘉定区,马陆镇,[],[],封周路,2022-04-20
121.6967289,31.2595775,10,浦东新区,曹路镇,[],[],龚丰路,2022-04-20
121.4910329,31.1209867,30,闵行区,浦锦街道,[],[],红临路,2022-04-20
121.140583,31.03145988888889,9,松江区,小昆山镇,[],[],昆港公路,2022-04-20
121.58645917307692,31.277845499999998,52,浦东新区,沪东新村街道,爱法新城,[],张杨北路,2022-04-20
121.3822409375,31.427189249999998,16,宝山区,罗店镇,[],[],苗圃路,2022-04-20
121.309506,31.291308523809523,21,嘉定区,南翔镇,[],[],人民街,2022-04-20
121.54327732,31.2057924,26,浦东新区,花木街道,[],上海东昌汽车服务有限公司,浦建路,2022-04-20
121.47805057,31.23611837,200,黄浦区,南京东路街道,[],[],浙江中路,2022-04-20
121.63792875,31.1672671,20,浦东新区,张江镇,[],[],横沔江路,2022-04-20
121.48989538709678,31.383267419354837,31,宝山区,吴淞街道,[],[],水产路,2022-04-20
121.41760758333334,31.1524005625,48,徐汇区,康健新村街道,[],[],桂林西街,2022-04-20
121.5745924,31.1168918,15,浦东新区,周浦镇,[],[],康沈路,2022-04-20
121.17011875,31.179542083333335,12,青浦区,香花桥街道,[],[],崧华路,2022-04-20
121.45004814705882,31.368637647058822,34,宝山区,杨行镇,[],[],松兰路,2022-04-20
121.297174,31.14934875,20,松江区,九里亭街道,[],[],朗亭路,2022-04-20
121.4824946875,31.20510503977273,176,黄浦区,五里桥街道,[],[],局门路,2022-04-20
121.38072952941177,31.31973117647059,17,宝山区,大场镇,[],[],锦秋路,2022-04-20
121.4196118,30.7984698,5,金山区,漕泾镇,[],[],共建路,2022-04-20
121.710731,31.032135,3,浦东新区,惠南镇,[],[],园西路,2022-04-20
121.44456795384616,31.165897584615383,65,徐汇区,漕河泾街道,[],[],凯旋南路,2022-04-20
121.47025698901099,31.255916736263735,91,静安区,宝山路街道,[],[],中兴路,2022-04-20
121.7518345,31.136664166666666,6,浦东新区,祝桥镇,[],[],凌空路,2022-04-20
121.217814,31.43395,7,嘉定区,徐行镇,[],[],小东街,2022-04-20
121.1463006,30.8885532,5,金山区,朱泾镇,[],[],朱平公路,2022-04-20
121.35335479310345,31.25454193103448,29,嘉定区,真新街道,[],[],西栅桥路,2022-04-20
121.6009235,31.088122357142858,14,浦东新区,周浦镇,[],[],瑞和路,2022-04-20
121.583518,31.647706,1,崇明区,东平镇,[],[],北沿公路,2022-04-20
121.57016710638298,31.253097723404256,47,浦东新区,金杨新村街道,黄山新城,[],博山东路,2022-04-20
121.49145023728813,31.168075050847456,59,浦东新区,上钢新村街道,德州二村,[],德州路,2022-04-20
121.33033180952381,31.07646757142857,21,松江区,新桥镇,[],[],明中路,2022-04-20
121.43956918571429,31.226579571428573,70,静安区,曹家渡街道,金家巷(万航渡路249弄小区东北),[],新闸路,2022-04-20
121.8264825,30.899425,4,浦东新区,泥城镇,[],[],泥城路,2022-04-20
121.20946057142856,31.03178192857143,14,松江区,方松街道,[],[],文诚路,2022-04-20
121.20613571428572,31.13350557142857,7,松江区,佘山镇,[],[],业煌路,2022-04-20
121.5670505625,31.344371,16,浦东新区,高桥镇,[],[],花山路,2022-04-20
121.69335044444445,31.197214111111112,18,浦东新区,川沙新镇,[],[],广厦路,2022-04-20
121.429984,31.28108142857143,35,静安区,彭浦镇,永灵小区,[],高平路,2022-04-20
121.50291314035087,31.149019859649123,57,浦东新区,三林镇,杨南新村,[],上浦路,2022-04-20
121.3074702,30.9374694,5,松江区,叶榭镇,[],[],叶乐路,2022-04-20
121.31990963636363,31.46048809090909,11,宝山区,罗泾镇,[],[],沪太路,2022-04-20
121.22737157142856,31.205975285714285,7,青浦区,华新镇,[],[],凤星路,2022-04-20
121.44794634285714,31.190086571428573,70,徐汇区,徐家汇街道,[],[],宛平南路,2022-04-20
121.6297405,31.317883,8,浦东新区,高东镇,[],[],园恒路,2022-04-20
121.5143249661017,31.186202525423727,59,浦东新区,周家渡街道,怡泰家苑,[],南码头路,2022-04-20
121.42703025490196,31.185301529411763,51,徐汇区,田林街道,[],[],宜山路,2022-04-20
121.48101930612245,31.33141542857143,49,宝山区,淞南镇,四季绿城,[],长江南路,2022-04-20
121.66245942105263,31.281402368421052,19,浦东新区,曹路镇,[],[],华东路,2022-04-20
121.23937925,31.3811930625,16,嘉定区,菊园新区,清河路202弄小区,[],嘉定环城路,2022-04-20
121.7285119,31.2453933,10,浦东新区,合庆镇,[],[],前哨支路,2022-04-20
