lon,lat,centroids_dense,district,township,neighborhood,building,streetNumber
121.39776731012658,31.355900795886075,632,宝山区,顾村镇,[],[],顾北路
121.49643318587896,31.166079054755045,2776,浦东新区,上钢新村街道,[],川杨河,上南路
121.65744501904761,31.22641326190476,840,浦东新区,唐镇,[],[],龙新路
121.32051330863192,31.13546431921824,1228,松江区,九亭镇,[],[],九新公路
121.48655719425511,31.207192966893867,4108,黄浦区,半淞园路街道,[],[],斜土东路
121.90972671052631,30.9091244,190,浦东新区,南汇新城镇,[],[],松萝路
121.5368011875,30.9638649921875,128,奉贤区,金汇镇,[],[],团汇公路
121.54333072394881,31.270728985984157,1641,杨浦区,定海路街道,珠江香樟南园,[],宁武路
121.19936206122449,31.019534302040817,245,松江区,永丰街道,[],[],荣乐西路
121.33878776264591,31.263678377431905,1028,嘉定区,江桥镇,[],[],华江支路
121.46389090541155,31.259586583901772,4398,静安区,芷江西路街道,[],[],普善路
121.57463728561737,31.118704685888737,1474,浦东新区,周浦镇,[],[],上南路
121.42900604188948,31.096174545454545,1122,闵行区,梅陇镇,燕南园,[],景联路
121.18813575174013,31.326789812064966,431,嘉定区,安亭镇,[],[],园国路
121.29574122543353,30.761011520231214,173,金山区,金山卫镇,[],[],长春路
121.71710223543401,31.23705537098692,841,浦东新区,合庆镇,[],[],小白路
121.83794464615384,31.003292792307693,260,浦东新区,书院镇,[],[],[]
121.5746354776828,31.341942309591644,1053,浦东新区,高桥镇,通园公寓,[],张杨北路
121.31488988075881,31.464218929539296,369,嘉定区,华亭镇,[],[],新川沙西路
121.45058961506707,31.19029939886481,1938,徐汇区,枫林路街道,[],[],零陵路
121.56255156156641,31.186221248284216,2477,浦东新区,北蔡镇,莲馨苑,北蔡中学羽毛球馆,北中路
121.30551871048745,31.0187627577548,677,松江区,中山街道,[],[],新车公路
121.1215615505618,31.22877491011236,89,青浦区,白鹤镇,[],[],杜村公路
121.44776835363882,31.313050832884098,1855,静安区,彭浦新村街道,星纪花苑,[],共和新路
121.3691922502994,31.24745537964072,835,嘉定区,真新街道,丰庄四村,[],延川路
121.59073293944051,31.268099491238857,3253,浦东新区,浦兴路街道,金藤苑,[],博兴路
121.46405947692698,31.218802847870183,3944,黄浦区,瑞金二路街道,[],[],瑞金一路
121.20648664912281,31.186296089668616,513,青浦区,华新镇,[],[],北青公路
121.45691311673151,31.04399394163424,514,闵行区,吴泾镇,[],[],永德路
121.44282235774648,31.16218056225352,1775,徐汇区,漕河泾街道,[],[],南宁路
121.46739659006211,30.899635788819875,161,奉贤区,南桥镇,[],[],南庄路
121.62947725454545,31.3091635,660,浦东新区,高东镇,[],[],赵高公路
121.48708404735062,31.381728587373168,887,宝山区,吴淞街道,[],[],水产路
121.50247052089465,31.30705467039435,1695,杨浦区,五角场街道,上海财经大学,[],政立路
121.39838287991718,31.428782459627328,483,宝山区,月浦镇,[],[],练祁路
121.34377727672955,31.400850492662475,477,宝山区,罗店镇,[],[],联合村路
121.69652868421052,31.107801698245613,285,浦东新区,川沙新镇,[],[],鹿达路
121.40992931161138,31.143704104265403,1688,闵行区,梅陇镇,宝城大厦,金梅公寓,虹梅路
121.71252975,31.384157597222224,72,崇明区,长兴镇,[],[],金渺路
121.27318224346405,31.34173259640523,612,嘉定区,马陆镇,[],[],陈安路
121.45203323809524,31.651260095238094,21,崇明区,建设镇,[],[],建设公路
121.81625776258993,30.896947302158274,278,浦东新区,泥城镇,[],[],鸿音路
121.43110665220433,31.273482062981106,1429,静安区,彭浦镇,[],[],沪太路
121.5083855997426,31.13413711840412,2331,浦东新区,三林镇,[],[],永泰路
121.63233502264808,31.19377313501742,1148,浦东新区,张江镇,[],上海市浦东新区张江综合监察队,华益路
121.66024145791246,31.02730694949495,297,浦东新区,新场镇,[],[],众安路
121.12942703636364,31.15080114318182,440,青浦区,夏阳街道,[],[],公园东路
121.33460847426471,31.32113313235294,544,嘉定区,南翔镇,[],[],科盛路
121.12115816753926,31.031960214659687,191,松江区,小昆山镇,[],[],平原公路
121.19506455555555,30.806415814814816,27,金山区,廊下镇,[],[],永光路
121.47102170334121,31.202212083023962,2963,黄浦区,打浦桥街道,[],[],斜土路
121.53059787788779,31.325830768151814,1216,杨浦区,殷行街道,开鲁四村,[],开鲁路
121.56030254637965,31.244696494324852,2555,浦东新区,金杨新村街道,[],[],罗山路
121.59682093265994,31.085461635241302,891,浦东新区,航头镇,[],[],鹤沙路
121.81382721052631,31.335504052631578,57,崇明区,横沙乡,[],[],新盟路
121.52319493875433,31.22513631799308,2890,浦东新区,潍坊新村街道,崂东小区,[],潍坊路
121.25852809364548,31.106874138795988,598,松江区,泗泾镇,[],[],古楼公路
121.77005755853659,31.102456946341462,410,浦东新区,祝桥镇,[],[],卫亭路
120.9872160595238,31.09113430952381,84,青浦区,朱家角镇,[],[],沪青平公路
121.36516060368663,31.168451341013824,1085,闵行区,七宝镇,[],明泉璞院,吴中路
121.63831458064516,31.557267193548387,62,崇明区,堡镇,[],[],堡镇北路
121.44282272738337,31.23359869087221,2465,静安区,江宁路街道,[],[],常德路
121.17161185897436,30.912422974358975,78,金山区,朱泾镇,[],[],罗星路
121.33318202312138,31.077709612716763,519,松江区,新桥镇,[],[],明中路
121.49229431247686,31.219282313772677,5402,黄浦区,老西门街道,[],[],亭桥街
121.4015906599526,31.01729466350711,844,闵行区,江川路街道,[],[],瑞丽路
121.40232655351682,30.805192428134557,327,金山区,漕泾镇,[],[],建国路
121.54790945401786,31.161949681696427,2240,浦东新区,北蔡镇,[],[],杨莲路
