NTL,lats,lons,geometry
8,31.87044776119403,121.29180602006689,POINT (121.29180602006689 31.87044776119403)
7,31.87044776119403,121.29598662207358,POINT (121.29598662207358 31.87044776119403)
7,31.87044776119403,121.30016722408027,POINT (121.30016722408027 31.87044776119403)
7,31.87044776119403,121.30434782608695,POINT (121.30434782608695 31.87044776119403)
7,31.87044776119403,121.30852842809365,POINT (121.30852842809365 31.87044776119403)
6,31.87044776119403,121.31270903010034,POINT (121.31270903010034 31.87044776119403)
6,31.87044776119403,121.31688963210702,POINT (121.31688963210702 31.87044776119403)
12,31.866268656716418,121.27508361204013,POINT (121.27508361204013 31.866268656716418)
11,31.866268656716418,121.27926421404682,POINT (121.27926421404682 31.866268656716418)
24,31.866268656716418,121.28344481605352,POINT (121.28344481605352 31.866268656716418)
22,31.866268656716418,121.2876254180602,POINT (121.2876254180602 31.866268656716418)
8,31.866268656716418,121.29180602006689,POINT (121.29180602006689 31.866268656716418)
8,31.866268656716418,121.29598662207358,POINT (121.29598662207358 31.866268656716418)
8,31.866268656716418,121.30016722408027,POINT (121.30016722408027 31.866268656716418)
7,31.866268656716418,121.30434782608695,POINT (121.30434782608695 31.866268656716418)
7,31.866268656716418,121.30852842809365,POINT (121.30852842809365 31.866268656716418)
6,31.866268656716418,121.31270903010034,POINT (121.31270903010034 31.866268656716418)
6,31.866268656716418,121.31688963210702,POINT (121.31688963210702 31.866268656716418)
7,31.866268656716418,121.32107023411372,POINT (121.32107023411372 31.866268656716418)
6,31.866268656716418,121.3252508361204,POINT (121.3252508361204 31.866268656716418)
9,31.862089552238807,121.26254180602007,POINT (121.26254180602007 31.862089552238807)
9,31.862089552238807,121.26672240802675,POINT (121.26672240802675 31.862089552238807)
19,31.862089552238807,121.27090301003345,POINT (121.27090301003345 31.862089552238807)
11,31.862089552238807,121.27508361204013,POINT (121.27508361204013 31.862089552238807)
25,31.862089552238807,121.27926421404682,POINT (121.27926421404682 31.862089552238807)
32,31.862089552238807,121.28344481605352,POINT (121.28344481605352 31.862089552238807)
28,31.862089552238807,121.2876254180602,POINT (121.2876254180602 31.862089552238807)
28,31.862089552238807,121.29180602006689,POINT (121.29180602006689 31.862089552238807)
8,31.862089552238807,121.29598662207358,POINT (121.29598662207358 31.862089552238807)
8,31.862089552238807,121.30016722408027,POINT (121.30016722408027 31.862089552238807)
7,31.862089552238807,121.30434782608695,POINT (121.30434782608695 31.862089552238807)
6,31.862089552238807,121.30852842809365,POINT (121.30852842809365 31.862089552238807)
6,31.862089552238807,121.31270903010034,POINT (121.31270903010034 31.862089552238807)
6,31.862089552238807,121.31688963210702,POINT (121.31688963210702 31.862089552238807)
6,31.862089552238807,121.32107023411372,POINT (121.32107023411372 31.862089552238807)
5,31.862089552238807,121.3252508361204,POINT (121.3252508361204 31.862089552238807)
5,31.862089552238807,121.32943143812709,POINT (121.32943143812709 31.862089552238807)
9,31.857910447761196,121.25418060200668,POINT (121.25418060200668 31.857910447761196)
10,31.857910447761196,121.25836120401338,POINT (121.25836120401338 31.857910447761196)
8,31.857910447761196,121.26254180602007,POINT (121.26254180602007 31.857910447761196)
10,31.857910447761196,121.26672240802675,POINT (121.26672240802675 31.857910447761196)
24,31.857910447761196,121.27090301003345,POINT (121.27090301003345 31.857910447761196)
31,31.857910447761196,121.27508361204013,POINT (121.27508361204013 31.857910447761196)
23,31.857910447761196,121.27926421404682,POINT (121.27926421404682 31.857910447761196)
45,31.857910447761196,121.28344481605352,POINT (121.28344481605352 31.857910447761196)
48,31.857910447761196,121.2876254180602,POINT (121.2876254180602 31.857910447761196)
44,31.857910447761196,121.29180602006689,POINT (121.29180602006689 31.857910447761196)
9,31.857910447761196,121.29598662207358,POINT (121.29598662207358 31.857910447761196)
8,31.857910447761196,121.30016722408027,POINT (121.30016722408027 31.857910447761196)
7,31.857910447761196,121.30434782608695,POINT (121.30434782608695 31.857910447761196)
7,31.857910447761196,121.30852842809365,POINT (121.30852842809365 31.857910447761196)
6,31.857910447761196,121.31270903010034,POINT (121.31270903010034 31.857910447761196)
6,31.857910447761196,121.31688963210702,POINT (121.31688963210702 31.857910447761196)
6,31.857910447761196,121.32107023411372,POINT (121.32107023411372 31.857910447761196)
5,31.857910447761196,121.3252508361204,POINT (121.3252508361204 31.857910447761196)
5,31.857910447761196,121.32943143812709,POINT (121.32943143812709 31.857910447761196)
4,31.857910447761196,121.33361204013377,POINT (121.33361204013377 31.857910447761196)
4,31.857910447761196,121.33779264214047,POINT (121.33779264214047 31.857910447761196)
6,31.857910447761196,121.34197324414716,POINT (121.34197324414716 31.857910447761196)
9,31.85373134328358,121.24581939799332,POINT (121.24581939799332 31.85373134328358)
8,31.85373134328358,121.25,POINT (121.25 31.85373134328358)
6,31.85373134328358,121.25418060200668,POINT (121.25418060200668 31.85373134328358)
8,31.85373134328358,121.25836120401338,POINT (121.25836120401338 31.85373134328358)
8,31.85373134328358,121.26254180602007,POINT (121.26254180602007 31.85373134328358)
20,31.85373134328358,121.26672240802675,POINT (121.26672240802675 31.85373134328358)
29,31.85373134328358,121.27090301003345,POINT (121.27090301003345 31.85373134328358)
23,31.85373134328358,121.27508361204013,POINT (121.27508361204013 31.85373134328358)
30,31.85373134328358,121.27926421404682,POINT (121.27926421404682 31.85373134328358)
35,31.85373134328358,121.28344481605352,POINT (121.28344481605352 31.85373134328358)
47,31.85373134328358,121.2876254180602,POINT (121.2876254180602 31.85373134328358)
27,31.85373134328358,121.29180602006689,POINT (121.29180602006689 31.85373134328358)
9,31.85373134328358,121.29598662207358,POINT (121.29598662207358 31.85373134328358)
7,31.85373134328358,121.30016722408027,POINT (121.30016722408027 31.85373134328358)
7,31.85373134328358,121.30434782608695,POINT (121.30434782608695 31.85373134328358)
7,31.85373134328358,121.30852842809365,POINT (121.30852842809365 31.85373134328358)
7,31.85373134328358,121.31270903010034,POINT (121.31270903010034 31.85373134328358)
6,31.85373134328358,121.31688963210702,POINT (121.31688963210702 31.85373134328358)
5,31.85373134328358,121.32107023411372,POINT (121.32107023411372 31.85373134328358)
5,31.85373134328358,121.3252508361204,POINT (121.3252508361204 31.85373134328358)
5,31.85373134328358,121.32943143812709,POINT (121.32943143812709 31.85373134328358)
4,31.85373134328358,121.33361204013377,POINT (121.33361204013377 31.85373134328358)
4,31.85373134328358,121.33779264214047,POINT (121.33779264214047 31.85373134328358)
5,31.85373134328358,121.34197324414716,POINT (121.34197324414716 31.85373134328358)
10,31.84955223880597,121.23327759197325,POINT (121.23327759197325 31.84955223880597)
8,31.84955223880597,121.23745819397993,POINT (121.23745819397993 31.84955223880597)
8,31.84955223880597,121.24163879598662,POINT (121.24163879598662 31.84955223880597)
8,31.84955223880597,121.24581939799332,POINT (121.24581939799332 31.84955223880597)
8,31.84955223880597,121.25,POINT (121.25 31.84955223880597)
6,31.84955223880597,121.25418060200668,POINT (121.25418060200668 31.84955223880597)
6,31.84955223880597,121.25836120401338,POINT (121.25836120401338 31.84955223880597)
8,31.84955223880597,121.26254180602007,POINT (121.26254180602007 31.84955223880597)
29,31.84955223880597,121.26672240802675,POINT (121.26672240802675 31.84955223880597)
24,31.84955223880597,121.27090301003345,POINT (121.27090301003345 31.84955223880597)
13,31.84955223880597,121.27508361204013,POINT (121.27508361204013 31.84955223880597)
9,31.84955223880597,121.27926421404682,POINT (121.27926421404682 31.84955223880597)
8,31.84955223880597,121.28344481605352,POINT (121.28344481605352 31.84955223880597)
7,31.84955223880597,121.2876254180602,POINT (121.2876254180602 31.84955223880597)
7,31.84955223880597,121.29180602006689,POINT (121.29180602006689 31.84955223880597)
7,31.84955223880597,121.29598662207358,POINT (121.29598662207358 31.84955223880597)
7,31.84955223880597,121.30016722408027,POINT (121.30016722408027 31.84955223880597)
7,31.84955223880597,121.30434782608695,POINT (121.30434782608695 31.84955223880597)
7,31.84955223880597,121.30852842809365,POINT (121.30852842809365 31.84955223880597)
7,31.84955223880597,121.31270903010034,POINT (121.31270903010034 31.84955223880597)
6,31.84955223880597,121.31688963210702,POINT (121.31688963210702 31.84955223880597)
5,31.84955223880597,121.32107023411372,POINT (121.32107023411372 31.84955223880597)
5,31.84955223880597,121.3252508361204,POINT (121.3252508361204 31.84955223880597)
5,31.84955223880597,121.32943143812709,POINT (121.32943143812709 31.84955223880597)
6,31.84955223880597,121.33361204013377,POINT (121.33361204013377 31.84955223880597)
6,31.84955223880597,121.33779264214047,POINT (121.33779264214047 31.84955223880597)
5,31.84955223880597,121.34197324414716,POINT (121.34197324414716 31.84955223880597)
5,31.84955223880597,121.34615384615384,POINT (121.34615384615384 31.84955223880597)
6,31.84955223880597,121.35033444816054,POINT (121.35033444816054 31.84955223880597)
5,31.84955223880597,121.35451505016722,POINT (121.35451505016722 31.84955223880597)
10,31.84537313432836,121.22491638795987,POINT (121.22491638795987 31.84537313432836)
10,31.84537313432836,121.22909698996655,POINT (121.22909698996655 31.84537313432836)
10,31.84537313432836,121.23327759197325,POINT (121.23327759197325 31.84537313432836)
9,31.84537313432836,121.23745819397993,POINT (121.23745819397993 31.84537313432836)
7,31.84537313432836,121.24163879598662,POINT (121.24163879598662 31.84537313432836)
7,31.84537313432836,121.24581939799332,POINT (121.24581939799332 31.84537313432836)
8,31.84537313432836,121.25,POINT (121.25 31.84537313432836)
8,31.84537313432836,121.25418060200668,POINT (121.25418060200668 31.84537313432836)
8,31.84537313432836,121.25836120401338,POINT (121.25836120401338 31.84537313432836)
9,31.84537313432836,121.26254180602007,POINT (121.26254180602007 31.84537313432836)
23,31.84537313432836,121.26672240802675,POINT (121.26672240802675 31.84537313432836)
23,31.84537313432836,121.27090301003345,POINT (121.27090301003345 31.84537313432836)
22,31.84537313432836,121.27508361204013,POINT (121.27508361204013 31.84537313432836)
20,31.84537313432836,121.27926421404682,POINT (121.27926421404682 31.84537313432836)
8,31.84537313432836,121.28344481605352,POINT (121.28344481605352 31.84537313432836)
8,31.84537313432836,121.2876254180602,POINT (121.2876254180602 31.84537313432836)
7,31.84537313432836,121.29180602006689,POINT (121.29180602006689 31.84537313432836)
7,31.84537313432836,121.29598662207358,POINT (121.29598662207358 31.84537313432836)
6,31.84537313432836,121.30016722408027,POINT (121.30016722408027 31.84537313432836)
6,31.84537313432836,121.30434782608695,POINT (121.30434782608695 31.84537313432836)
6,31.84537313432836,121.30852842809365,POINT (121.30852842809365 31.84537313432836)
6,31.84537313432836,121.31270903010034,POINT (121.31270903010034 31.84537313432836)
5,31.84537313432836,121.31688963210702,POINT (121.31688963210702 31.84537313432836)
5,31.84537313432836,121.32107023411372,POINT (121.32107023411372 31.84537313432836)
6,31.84537313432836,121.3252508361204,POINT (121.3252508361204 31.84537313432836)
6,31.84537313432836,121.32943143812709,POINT (121.32943143812709 31.84537313432836)
4,31.84537313432836,121.33361204013377,POINT (121.33361204013377 31.84537313432836)
5,31.84537313432836,121.33779264214047,POINT (121.33779264214047 31.84537313432836)
5,31.84537313432836,121.34197324414716,POINT (121.34197324414716 31.84537313432836)
6,31.84537313432836,121.34615384615384,POINT (121.34615384615384 31.84537313432836)
6,31.84537313432836,121.35033444816054,POINT (121.35033444816054 31.84537313432836)
6,31.84537313432836,121.35451505016722,POINT (121.35451505016722 31.84537313432836)
4,31.84537313432836,121.3586956521739,POINT (121.3586956521739 31.84537313432836)
8,31.841194029850747,121.21655518394648,POINT (121.21655518394648 31.841194029850747)
9,31.841194029850747,121.22073578595318,POINT (121.22073578595318 31.841194029850747)
9,31.841194029850747,121.22491638795987,POINT (121.22491638795987 31.841194029850747)
9,31.841194029850747,121.22909698996655,POINT (121.22909698996655 31.841194029850747)
9,31.841194029850747,121.23327759197325,POINT (121.23327759197325 31.841194029850747)
9,31.841194029850747,121.23745819397993,POINT (121.23745819397993 31.841194029850747)
8,31.841194029850747,121.24163879598662,POINT (121.24163879598662 31.841194029850747)
7,31.841194029850747,121.24581939799332,POINT (121.24581939799332 31.841194029850747)
7,31.841194029850747,121.25,POINT (121.25 31.841194029850747)
8,31.841194029850747,121.25418060200668,POINT (121.25418060200668 31.841194029850747)
9,31.841194029850747,121.25836120401338,POINT (121.25836120401338 31.841194029850747)
