date,district,address,lons,lats
2022-04-05,浦东新区,百曲村,121.526077,30.962523
2022-04-05,浦东新区,板泉路1201弄,121.505791,31.161574
2022-04-05,浦东新区,板泉路2000弄,121.532012,31.165295
2022-04-05,浦东新区,板泉路2101弄,121.531904,31.16715
2022-04-05,浦东新区,北艾路1077弄,121.534223,31.182488
2022-04-05,浦东新区,北艾路1128弄,121.535182,31.183324
2022-04-05,浦东新区,北艾路1200弄,121.533919,31.182783
2022-04-05,浦东新区,北艾路1765弄,121.521767,31.178552
2022-04-05,浦东新区,北蔡大街31弄,121.554896,31.187466
2022-04-05,浦东新区,北城壕路111弄,121.701603,31.197913
2022-04-05,浦东新区,北市街308弄,121.702533,31.199499
2022-04-05,浦东新区,北园路258弄,121.524332,31.20208
2022-04-05,浦东新区,北张家浜路188弄,121.526503,31.216658
2022-04-05,浦东新区,北张家浜路28弄,121.519532,31.215913
2022-04-05,浦东新区,北张家浜路98弄,121.522459,31.216543
2022-04-05,浦东新区,北中路280弄,121.556579,31.183343
2022-04-05,浦东新区,北中路383弄,121.560231,31.184252
2022-04-05,浦东新区,北中路480弄,121.561905,31.184
2022-04-05,浦东新区,碧云路1198号,121.589456,31.242963
2022-04-05,浦东新区,碧云路333弄,121.576989,31.236905
2022-04-05,浦东新区,碧云路86弄,121.574044,31.235155
2022-04-05,浦东新区,博华路1018弄,121.551099,31.170366
2022-04-05,浦东新区,博华路237弄,121.544992,31.184512
2022-04-05,浦东新区,博华路989号,121.550575,31.171728
2022-04-05,浦东新区,博山东路136弄,121.565109,31.248225
2022-04-05,浦东新区,博山东路173弄,121.564289,31.251951
2022-04-05,浦东新区,博山东路20弄,121.560013,31.245715
2022-04-05,浦东新区,博山东路440弄,121.567987,31.251915
2022-04-05,浦东新区,博山东路459弄,121.56851,31.253144
2022-04-05,浦东新区,博山路12弄,121.555941,31.24654
2022-04-05,浦东新区,博山路199弄,121.554692,31.244283
2022-04-05,浦东新区,博山路50弄,121.557138,31.246021
2022-04-05,浦东新区,博山路78弄,121.555247,31.244982
2022-04-05,浦东新区,博兴路1185弄,121.593863,31.268493
2022-04-05,浦东新区,博兴路1383弄,121.597831,31.268886
2022-04-05,浦东新区,博兴路1663弄,121.600769,31.274186
2022-04-05,浦东新区,博兴路1676弄,121.603621,31.27655
2022-04-05,浦东新区,博兴路1768弄,121.601702,31.27712
2022-04-05,浦东新区,博兴路250弄,121.578757,31.269007
2022-04-05,浦东新区,博兴路462弄,121.581597,31.265408
2022-04-05,浦东新区,博兴路465弄,121.583688,31.267381
2022-04-05,浦东新区,博兴路616弄,121.58448,31.263629
2022-04-05,浦东新区,博兴路799弄,121.59101,31.266876
2022-04-05,浦东新区,博兴路986弄,121.591557,31.264613
2022-04-05,浦东新区,彩云路51弄,121.81874,30.89696
2022-04-05,浦东新区,蔡路村,121.730218,31.214086
2022-04-05,浦东新区,长达村,121.57143,31.027357
2022-04-05,浦东新区,长岛路1201弄,121.591517,31.261139
2022-04-05,浦东新区,长岛路1203弄,121.592506,31.262601
2022-04-05,浦东新区,长岛路1267弄,121.594192,31.262167
2022-04-05,浦东新区,长岛路1280弄,121.594531,31.259736
2022-04-05,浦东新区,长岛路1338弄,121.596638,31.262163
2022-04-05,浦东新区,长岛路1398弄,121.597602,31.263198
2022-04-05,浦东新区,长岛路1560弄,121.600996,31.264129
2022-04-05,浦东新区,长岛路259弄,121.577598,31.266108
2022-04-05,浦东新区,长岛路728弄,121.585826,31.258312
2022-04-05,浦东新区,长岛路800弄,121.587874,31.25922
2022-04-05,浦东新区,长岛路85弄,121.580918,31.267719
2022-04-05,浦东新区,长丰村,121.674519,31.182775
2022-04-05,浦东新区,长桥村,121.080859,31.099038
2022-04-05,浦东新区,长清路2326号,121.49989,31.135476
2022-04-05,浦东新区,长清路693弄,121.491042,31.157702
2022-04-05,浦东新区,长清路75弄,121.488866,31.172089
2022-04-05,浦东新区,长清路807弄,121.49292,31.15475
2022-04-05,浦东新区,长清路967弄,121.49166,31.153394
2022-04-05,浦东新区,长清路977弄,121.492729,31.151717
2022-04-05,浦东新区,昌里东路190弄,121.508756,31.174396
2022-04-05,浦东新区,昌里东路333弄,121.510473,31.177139
2022-04-05,浦东新区,昌里东路395弄,121.512208,31.177617
2022-04-05,浦东新区,昌里东路500弄,121.514818,31.178347
2022-04-05,浦东新区,昌里东路550弄,121.515384,31.179063
2022-04-05,浦东新区,昌里东路675弄,121.516513,31.181114
2022-04-05,浦东新区,昌里东路71弄,121.50491,31.177314
2022-04-05,浦东新区,昌里东路80弄,121.506037,31.175808
2022-04-05,浦东新区,昌里路167弄,121.497353,31.175648
2022-04-05,浦东新区,昌里路340弄,121.491933,31.173465
2022-04-05,浦东新区,昌里路98弄,121.502306,31.17532
2022-04-05,浦东新区,昌邑路1500弄,121.537457,31.244169
2022-04-05,浦东新区,朝农新村,121.835936,31.097051
2022-04-05,浦东新区,朝阳村,121.733901,31.249625
2022-04-05,浦东新区,车站新村,121.403603,31.260139
2022-04-05,浦东新区,沉香村,121.596555,31.076109
2022-04-05,浦东新区,陈春东路99弄,121.559063,31.176058
2022-04-05,浦东新区,陈春路620弄,121.546478,31.173033
2022-04-05,浦东新区,陈丰路245号,,
2022-04-05,浦东新区,陈家弄,121.33988,31.23449
2022-04-05,浦东新区,陈桥村,121.691094,31.1446
2022-04-05,浦东新区,陈水关路19弄,121.632558,31.177934
2022-04-05,浦东新区,陈行村,121.344173,31.478502
2022-04-05,浦东新区,晨晖路828弄,121.597573,31.200346
2022-04-05,浦东新区,成山路1139号,121.520154,31.17504
2022-04-05,浦东新区,成山路1728弄,121.529212,31.176689
2022-04-05,浦东新区,成山路2008弄,121.535673,31.175607
2022-04-05,浦东新区,成山路2399弄,121.545491,31.180115
2022-04-05,浦东新区,成山路24弄,121.487151,31.167477
2022-04-05,浦东新区,成山路300弄,121.502996,31.17068
2022-04-05,浦东新区,成山路544弄,121.508628,31.170225
2022-04-05,浦东新区,成山路558号,121.508317,31.172006
2022-04-05,浦东新区,成山路601弄,121.507846,31.174465
2022-04-05,浦东新区,成山路608弄,121.508569,31.169934
2022-04-05,浦东新区,成山路648弄,121.51069,31.169837
2022-04-05,浦东新区,成山路668弄,121.513213,31.17049
2022-04-05,浦东新区,诚礼路298弄,121.668636,31.224928
2022-04-05,浦东新区,城丰路143弄,121.68728,31.18998
2022-04-05,浦东新区,城丰路212弄,121.68569,31.191343
