date,district,address,lons,lats
2022-04-22,浦东新区,白萱路99弄,121.590861,31.329374
2022-04-22,浦东新区,白杨路1065弄,121.559911,31.193391
2022-04-22,浦东新区,白杨路360弄,121.554281,31.204614
2022-04-22,浦东新区,板泉路2000弄,121.532012,31.165295
2022-04-22,浦东新区,板泉路2101弄,121.531904,31.16715
2022-04-22,浦东新区,板泉路50号,121.494644,31.158141
2022-04-22,浦东新区,板泉路95弄,121.489355,31.156278
2022-04-22,浦东新区,北艾路1077弄,121.534223,31.182488
2022-04-22,浦东新区,北艾路1200弄,121.533919,31.182783
2022-04-22,浦东新区,北艾路155弄,121.542909,31.185863
2022-04-22,浦东新区,北艾路1660弄,121.524025,31.180639
2022-04-22,浦东新区,北艾路1765弄,121.521767,31.178552
2022-04-22,浦东新区,北艾路73弄,121.545023,31.186102
2022-04-22,浦东新区,北艾路862弄,121.536454,31.185412
2022-04-22,浦东新区,北蔡村丁家宅,121.609684,31.18105
2022-04-22,浦东新区,北蔡村周家宅,121.423823,31.320271
2022-04-22,浦东新区,北蔡大街31弄,121.554896,31.187466
2022-04-22,浦东新区,北蔡镇南新村东钟家宅,121.542313,31.16645
2022-04-22,浦东新区,北蔡镇南新村陆家宅,121.543294,31.166024
2022-04-22,浦东新区,北蔡镇南新村吴家宅,121.543294,31.166024
2022-04-22,浦东新区,北蔡镇南新村西钟家宅,121.541115,31.166262
2022-04-22,浦东新区,北蔡镇南新村徐家宅,121.543294,31.166024
2022-04-22,浦东新区,北蔡镇南新村杨家湾,121.5466,31.165611
2022-04-22,浦东新区,北蔡镇南新村赵家厍,121.538312,31.170047
2022-04-22,浦东新区,北城壕路111弄,121.701603,31.197913
2022-04-22,浦东新区,北新园路460弄,121.627456,31.319923
2022-04-22,浦东新区,北园路258弄,121.524332,31.20208
2022-04-22,浦东新区,北张家浜路172号,121.525215,31.216248
2022-04-22,浦东新区,北张家浜路58号,121.520914,31.215884
2022-04-22,浦东新区,北中路10弄,121.552558,31.182598
2022-04-22,浦东新区,北中路175弄,121.555195,31.183436
2022-04-22,浦东新区,北中路278弄,121.556848,31.183063
2022-04-22,浦东新区,北中路408弄,121.560557,31.1837
2022-04-22,浦东新区,滨江大道1773弄,121.53631,31.246419
2022-04-22,浦东新区,博华路1018弄,121.551099,31.170366
2022-04-22,浦东新区,博华路237弄,121.544992,31.184512
2022-04-22,浦东新区,博华路26弄,121.548427,31.179239
2022-04-22,浦东新区,博华路989号,121.550575,31.171728
2022-04-22,浦东新区,博华路999弄,121.550815,31.170548
2022-04-22,浦东新区,博山东路20弄,121.560013,31.245715
2022-04-22,浦东新区,博山东路41弄,121.55962,31.247532
2022-04-22,浦东新区,博山东路440弄,121.567987,31.251915
2022-04-22,浦东新区,博山东路811弄,121.57588,31.259374
2022-04-22,浦东新区,博山东路81弄,121.559066,31.248881
2022-04-22,浦东新区,博山路11弄,121.55901,31.244754
2022-04-22,浦东新区,博山路12弄,121.555941,31.24654
2022-04-22,浦东新区,博山路13弄,121.558404,31.244351
2022-04-22,浦东新区,博山路200弄,121.551855,31.244528
2022-04-22,浦东新区,博山路50弄,121.557138,31.246021
2022-04-22,浦东新区,博山路78弄,121.555247,31.244982
2022-04-22,浦东新区,博兴路1663弄,121.600769,31.274186
2022-04-22,浦东新区,博兴路1676弄,121.603621,31.27655
2022-04-22,浦东新区,博兴路250弄,121.578757,31.269007
2022-04-22,浦东新区,博兴路462弄,121.581597,31.265408
2022-04-22,浦东新区,博兴路465弄,121.583688,31.267381
2022-04-22,浦东新区,博兴路616弄,121.58448,31.263629
