date,district,address,lons,lats
2022-04-08,浦东新区,八灶村康家宅,121.716279,31.16019
2022-04-08,浦东新区,白莲泾路国展路交界口工地生活区,121.500893,31.189446
2022-04-08,浦东新区,百曲村,121.526077,30.962523
2022-04-08,浦东新区,板泉路1201弄,121.505791,31.161574
2022-04-08,浦东新区,板泉路1555弄,121.510584,31.164532
2022-04-08,浦东新区,板泉路2000弄,121.532012,31.165295
2022-04-08,浦东新区,板泉路2101弄,121.531904,31.16715
2022-04-08,浦东新区,板泉路25号,121.509134,31.163729
2022-04-08,浦东新区,北艾路1128弄,121.535182,31.183324
2022-04-08,浦东新区,北艾路1200弄,121.533919,31.182783
2022-04-08,浦东新区,北艾路1643弄,121.533584,31.182401
2022-04-08,浦东新区,北艾路1765弄,121.521767,31.178552
2022-04-08,浦东新区,北艾路73弄,121.545023,31.186102
2022-04-08,浦东新区,北蔡村丁家宅,121.609684,31.18105
2022-04-08,浦东新区,北蔡大街31弄,121.554896,31.187466
2022-04-08,浦东新区,北蔡镇丁家宅,121.609684,31.18105
2022-04-08,浦东新区,北蔡镇陆家队陆家宅,121.564715,31.188834
2022-04-08,浦东新区,北蔡镇朱家宅,121.554907,31.181773
2022-04-08,浦东新区,北街415弄,121.579894,31.351305
2022-04-08,浦东新区,北新村,121.258821,31.466924
2022-04-08,浦东新区,北园路258弄,121.524332,31.20208
2022-04-08,浦东新区,北张家浜路188弄,121.526503,31.216658
2022-04-08,浦东新区,北张家浜路58号,121.520914,31.215884
2022-04-08,浦东新区,北中路278弄,121.556848,31.183063
2022-04-08,浦东新区,北中路280弄,121.556579,31.183343
2022-04-08,浦东新区,窑港村,121.665944,31.102675
2022-04-08,浦东新区,碧云路333弄,121.576989,31.236905
2022-04-08,浦东新区,博华路930弄,121.550054,31.175362
2022-04-08,浦东新区,博华路999弄,121.550815,31.170548
2022-04-08,浦东新区,博华路杨莲路交界口工地生活区,121.551324,31.16845
2022-04-08,浦东新区,博山东路173弄,121.564289,31.251951
2022-04-08,浦东新区,博山东路20弄,121.560013,31.245715
2022-04-08,浦东新区,博山东路41弄,121.55962,31.247532
2022-04-08,浦东新区,博山东路440弄,121.567987,31.251915
2022-04-08,浦东新区,博山东路459弄,121.56851,31.253144
2022-04-08,浦东新区,博山东路811弄,121.57588,31.259374
2022-04-08,浦东新区,博山路12弄,121.555941,31.24654
2022-04-08,浦东新区,博山路78弄,121.555247,31.244982
2022-04-08,浦东新区,博兴路1676弄,121.603621,31.27655
2022-04-08,浦东新区,博兴路250弄,121.578757,31.269007
2022-04-08,浦东新区,博兴路341号,121.581347,31.267737
2022-04-08,浦东新区,博兴路462弄,121.581597,31.265408
2022-04-08,浦东新区,博兴路465弄,121.583688,31.267381
2022-04-08,浦东新区,博兴路616弄,121.58448,31.263629
2022-04-08,浦东新区,博兴路799弄,121.59101,31.266876
2022-04-08,浦东新区,蔡路村北丁家宅,121.546855,31.232065
2022-04-08,浦东新区,蔡路村蔡家宅,121.798289,31.078007
2022-04-08,浦东新区,蔡路村杨家宅,121.277724,30.740558
2022-04-08,浦东新区,蔡路村赵家宅,121.540789,30.95122
2022-04-08,浦东新区,仓房村仓房港,121.51597,31.363539
2022-04-08,浦东新区,仓房村张家宅,121.548341,31.166473
2022-04-08,浦东新区,曹黄村,121.690606,31.269226
2022-04-08,浦东新区,曹路镇光明村沙桥宅,121.651327,31.287401
2022-04-08,浦东新区,曹路镇光明村施家宅,121.658468,31.290572
2022-04-08,浦东新区,曹路镇光明村双盘宅,121.655428,31.291235
2022-04-08,浦东新区,草高支路1118弄,121.562732,31.351711
2022-04-08,浦东新区,草高支路938弄,121.566894,31.351267
2022-04-08,浦东新区,柴场村,121.72611,31.18103
2022-04-08,浦东新区,长岛路1201弄,121.591517,31.261139
2022-04-08,浦东新区,长岛路1267弄,121.594192,31.262167
2022-04-08,浦东新区,长岛路1280弄,121.594531,31.259736
2022-04-08,浦东新区,长岛路1398弄,121.597602,31.263198
2022-04-08,浦东新区,长岛路259弄,121.577598,31.266108
2022-04-08,浦东新区,长岛路728弄,121.585826,31.258312
2022-04-08,浦东新区,长岛路800弄,121.587874,31.25922
2022-04-08,浦东新区,长岛路85弄,121.580918,31.267719
2022-04-08,浦东新区,长岛路99号,121.577931,31.267405
2022-04-08,浦东新区,长丰村陆家宅,121.426399,30.810405
2022-04-08,浦东新区,长丰村南张家宅,121.605715,30.972921
2022-04-08,浦东新区,长清路119弄,121.49073,31.168907
2022-04-08,浦东新区,长清路1658弄,121.49365,31.147644
2022-04-08,浦东新区,长清路595弄,121.49105,31.159863
2022-04-08,浦东新区,长清路643弄,121.492273,31.157199
2022-04-08,浦东新区,长清路693弄,121.491042,31.157702
2022-04-08,浦东新区,长清路75弄,121.488866,31.172089
2022-04-08,浦东新区,长元村曹家宅,121.392463,30.750729
2022-04-08,浦东新区,昌里东路190弄,121.508756,31.174396
2022-04-08,浦东新区,昌里东路395弄,121.512208,31.177617
2022-04-08,浦东新区,昌里东路650弄,121.515789,31.179524
2022-04-08,浦东新区,昌里东路71弄,121.50491,31.177314
2022-04-08,浦东新区,昌里东路80弄,121.506037,31.175808
2022-04-08,浦东新区,昌里路167弄,121.497353,31.175648
2022-04-08,浦东新区,昌里路340弄,121.491933,31.173465
2022-04-08,浦东新区,昌里路98弄,121.502306,31.17532
2022-04-08,浦东新区,昌邑路1669号,121.540382,31.246135
2022-04-08,浦东新区,昌邑路55弄,121.513504,31.241151
2022-04-08,浦东新区,朝阳村陈家宅,121.565209,31.176723
2022-04-08,浦东新区,朝阳村丁家宅,121.609684,31.18105
2022-04-08,浦东新区,朝阳村胡家宅,121.37047,30.817981
2022-04-08,浦东新区,朝阳村徐家宅,121.73093,31.24937
2022-04-08,浦东新区,车站村,121.742044,30.976559
2022-04-08,浦东新区,陈春路620弄,121.546478,31.173033
2022-04-08,浦东新区,陈店村,121.804297,30.946692
2022-04-08,浦东新区,陈胡村胡家宅,121.37047,30.817981
2022-04-08,浦东新区,陈胡村新建宅,121.768818,31.191499
2022-04-08,浦东新区,陈桥村,121.691094,31.1446
2022-04-08,浦东新区,撑圩村,,
2022-04-08,浦东新区,成山路1488弄,121.52866,31.175248
2022-04-08,浦东新区,成山路2008弄,121.535673,31.175607
2022-04-08,浦东新区,成山路248弄,121.497932,31.171251
2022-04-08,浦东新区,成山路24弄,121.487151,31.167477
2022-04-08,浦东新区,成山路544弄,121.508628,31.170225
2022-04-08,浦东新区,成山路601弄,121.507846,31.174465
2022-04-08,浦东新区,成山路648弄,121.51069,31.169837
2022-04-08,浦东新区,成山路华鹏路交界口工地生活区,121.527641,31.178665
2022-04-08,浦东新区,成山路浦三路交界口工地生活区,121.527641,31.178665
2022-04-08,浦东新区,城丰路143弄,121.68728,31.18998
2022-04-08,浦东新区,城丰路15弄,121.690286,31.191115
2022-04-08,浦东新区,城南村朱家宅,121.203232,31.346909
2022-04-08,浦东新区,城南路168弄,121.74977,31.040107
2022-04-08,浦东新区,城南路229弄,121.706874,31.192843
2022-04-08,浦东新区,城南路267弄,121.706249,31.191897
2022-04-08,浦东新区,城南路5122号,121.696168,31.190299
2022-04-08,浦东新区,城南路550弄,121.69696,31.19167
2022-04-08,浦东新区,城南路627弄,121.695059,31.190034
2022-04-08,浦东新区,城南路747弄,121.693094,31.188514
2022-04-08,浦东新区,城南路918弄,121.769241,31.039139
2022-04-08,浦东新区,储店村陈家宅,121.565209,31.176723
2022-04-08,浦东新区,储店村桂家宅,121.445205,31.394121
2022-04-08,浦东新区,川环南路1049弄,121.693997,31.184181
2022-04-08,浦东新区,川环南路148弄,121.710687,31.189848
2022-04-08,浦东新区,川沙路1666弄,121.681538,31.254586
2022-04-08,浦东新区,川沙路2016号,121.683936,31.245507
2022-04-08,浦东新区,川沙路326弄,121.666813,31.279203
2022-04-08,浦东新区,川沙路389弄,121.669854,31.279098
2022-04-08,浦东新区,川沙路4298号,121.694792,31.204589
2022-04-08,浦东新区,川沙路4618弄,121.696495,31.198525
2022-04-08,浦东新区,川沙路4650弄,121.695726,31.19818
2022-04-08,浦东新区,川沙路5122弄,121.697148,31.190217
2022-04-08,浦东新区,川沙新镇盛家宅,121.697502,31.161824
2022-04-08,浦东新区,川沙新镇西曹家宅,121.695947,31.193105
2022-04-08,浦东新区,川沙新镇朱家宅,121.695947,31.193105
2022-04-08,浦东新区,川银路150弄,121.688225,31.192638
2022-04-08,浦东新区,川周公路4058弄,121.584888,31.125545
2022-04-08,浦东新区,川周公路4318弄,121.581043,31.120704
2022-04-08,浦东新区,川周路8828弄,121.707483,31.185866
2022-04-08,浦东新区,创新西路199弄,121.655192,31.200845
2022-04-08,浦东新区,创新西路300弄,121.651946,31.203371
2022-04-08,浦东新区,创新西路333弄,121.652488,31.199766
2022-04-08,浦东新区,创新西路75弄,121.656396,31.203066
2022-04-08,浦东新区,创新中路199弄,121.662016,31.207349
2022-04-08,浦东新区,创新中路399弄,121.666861,31.211055
2022-04-08,浦东新区,创新中路593弄,121.670989,31.210289
2022-04-08,浦东新区,春晖路276弄,121.584531,31.339957
2022-04-08,浦东新区,春晖路289弄,121.585628,31.339477
2022-04-08,浦东新区,春晖路368弄,121.583414,31.338789
2022-04-08,浦东新区,春晖路446弄,121.581784,31.338224
2022-04-08,浦东新区,春雷村北夏家宅,121.662021,30.985504
2022-04-08,浦东新区,春源路58弄,121.651064,31.212018
2022-04-08,浦东新区,纯新村王家宅,121.680159,31.166252
2022-04-08,浦东新区,世博家园大道站路94弄,121.539231,31.158611
2022-04-08,浦东新区,大洪村,121.304942,31.368472
2022-04-08,浦东新区,大同路1010弄,121.57175,31.335925
2022-04-08,浦东新区,大同路260弄,121.577474,31.344401
2022-04-08,浦东新区,大同路922弄,121.572159,31.33707
2022-04-08,浦东新区,大团镇果园村,121.730866,30.977928
2022-04-08,浦东新区,大团镇金石村,121.785641,30.959516
2022-04-08,浦东新区,大星村奚家宅,121.550453,31.156231
2022-04-08,浦东新区,大星村尹家宅,121.811829,31.045981
2022-04-08,浦东新区,大杨村,121.741791,30.970747
2022-04-08,浦东新区,大众村王家宅,121.680159,31.166252
2022-04-08,浦东新区,大众村西沟圈,121.651438,31.228785
2022-04-08,浦东新区,大众村中心新村,121.64837,31.228527
2022-04-08,浦东新区,道新村东杜家宅,121.75982,31.161743
2022-04-08,浦东新区,德平路1060弄,121.567513,31.242507
2022-04-08,浦东新区,德平路1065弄,121.568295,31.244088
2022-04-08,浦东新区,德平路1066弄,121.566939,31.240004
2022-04-08,浦东新区,德平路1125弄,121.568479,31.242135
