date,district,address,lons,lats
2022-04-09,浦东新区,八灶村顾家宅,121.568585,31.342882
2022-04-09,浦东新区,八灶村张家宅,121.548341,31.166473
2022-04-09,浦东新区,八灶村赵家宅,121.540789,30.95122
2022-04-09,浦东新区,白桦路266弄,121.576675,31.234985
2022-04-09,浦东新区,白杨路199弄,121.555605,31.208224
2022-04-09,浦东新区,百龙新村,121.61658,31.141322
2022-04-09,浦东新区,百曲村,121.526077,30.962523
2022-04-09,浦东新区,板泉路1201弄,121.505791,31.161574
2022-04-09,浦东新区,板泉路1555弄,121.510584,31.164532
2022-04-09,浦东新区,板泉路2000弄,121.532012,31.165295
2022-04-09,浦东新区,板泉路2101弄,121.531904,31.16715
2022-04-09,浦东新区,板泉路95弄,121.489355,31.156278
2022-04-09,浦东新区,北艾路1077弄,121.534223,31.182488
2022-04-09,浦东新区,北艾路1200弄,121.533919,31.182783
2022-04-09,浦东新区,北艾路1660弄,121.524025,31.180639
2022-04-09,浦东新区,北艾路1765弄,121.521767,31.178552
2022-04-09,浦东新区,北艾路73弄,121.545023,31.186102
2022-04-09,浦东新区,北艾路862弄,121.536454,31.185412
2022-04-09,浦东新区,北蔡镇陈家宅,121.565209,31.176723
2022-04-09,浦东新区,北蔡镇黄家宅,121.57091,31.182043
2022-04-09,浦东新区,北蔡镇刘家宅,121.554907,31.181773
2022-04-09,浦东新区,北蔡镇吴家宅,121.554907,31.181773
2022-04-09,浦东新区,北蔡镇姚家宅,121.576303,31.184603
2022-04-09,浦东新区,北蔡镇张家宅,121.548341,31.166473
2022-04-09,浦东新区,北沈家宅,121.194587,31.365214
2022-04-09,浦东新区,北新村,121.258821,31.466924
2022-04-09,浦东新区,北新园路350弄,121.624973,31.322113
2022-04-09,浦东新区,北新园路460弄,121.627456,31.319923
2022-04-09,浦东新区,北园路258弄,121.524332,31.20208
2022-04-09,浦东新区,北张家浜路188弄,121.526503,31.216658
2022-04-09,浦东新区,北中路278弄,121.556848,31.183063
2022-04-09,浦东新区,北中路280弄,121.556579,31.183343
2022-04-09,浦东新区,北中路383弄,121.560231,31.184252
2022-04-09,浦东新区,北中路480弄,121.561905,31.184
2022-04-09,浦东新区,毕升路299弄,121.587463,31.184849
2022-04-09,浦东新区,碧云路199弄,121.575469,31.236539
2022-04-09,浦东新区,滨海一村西王家宅,121.284074,31.448882
2022-04-09,浦东新区,博华路1018弄,121.551099,31.170366
2022-04-09,浦东新区,博华路300弄,121.548427,31.179239
2022-04-09,浦东新区,博华路999弄,121.550815,31.170548
2022-04-09,浦东新区,博山东路128弄,121.563188,31.248198
2022-04-09,浦东新区,博山东路173弄,121.564289,31.251951
2022-04-09,浦东新区,博山东路188弄,121.566437,31.250349
2022-04-09,浦东新区,博山东路20弄,121.560013,31.245715
2022-04-09,浦东新区,博山东路41弄,121.55962,31.247532
2022-04-09,浦东新区,博山东路440弄,121.567987,31.251915
2022-04-09,浦东新区,博山东路459弄,121.56851,31.253144
