date,district,address,lons,lats
2022-05-07,浦东新区,北艾路1765弄,121.521767,31.178552
2022-05-07,浦东新区,北蔡镇杨桥村西计队西计家宅,121.577791,31.191116
2022-05-07,浦东新区,北蔡镇中界村黄家队黄家宅,121.573025,31.185266
2022-05-07,浦东新区,北蔡镇中界村秦家宅,121.567958,31.189333
2022-05-07,浦东新区,北蔡镇中界村庄家队蔡家宅,121.567958,31.189333
2022-05-07,浦东新区,博兴路1663弄,121.600769,31.274186
2022-05-07,浦东新区,博兴路986弄,121.591557,31.264613
2022-05-07,浦东新区,彩云路220弄,121.814583,30.898857
2022-05-07,浦东新区,彩云路357弄,121.811423,30.898191
2022-05-07,浦东新区,曹路镇建新村叶家宅,121.67628,31.294747
2022-05-07,浦东新区,曹路镇联合村路北宅,121.667039,31.278414
2022-05-07,浦东新区,曹路镇五四村沈家宅,121.726044,31.251821
2022-05-07,浦东新区,长岛路1477弄,121.598031,31.264821
2022-05-07,浦东新区,昌里东路411弄,121.515127,31.179927
2022-05-07,浦东新区,成山路24弄,121.487151,31.167477
2022-05-07,浦东新区,川沙路1258号,121.678245,31.261256
2022-05-07,浦东新区,川沙新镇药师村,121.68283,31.202649
2022-05-07,浦东新区,川周公路2828弄,121.616951,31.143307
2022-05-07,浦东新区,川周公路3010弄,121.610227,31.141537
2022-05-07,浦东新区,川周公路4005弄,121.589698,31.124689
2022-05-07,浦东新区,创新中路399弄,121.666861,31.211055
2022-05-07,浦东新区,大同路868弄,121.573434,31.337171
2022-05-07,浦东新区,德平路1066弄,121.566939,31.240004
2022-05-07,浦东新区,德州路421弄,121.482526,31.167261
2022-05-07,浦东新区,丁香路1089弄,121.554397,31.228349
2022-05-07,浦东新区,丁香路1399弄,121.564022,31.229382
2022-05-07,浦东新区,丁香路1599弄,121.56411,31.2292
2022-05-07,浦东新区,丁香路910弄,121.553361,31.225241
2022-05-07,浦东新区,东昌路490弄,121.511409,31.231897
2022-05-07,浦东新区,东书房路390弄,121.534448,31.164407
2022-05-07,浦东新区,杜鹃路58弄,121.547155,31.201501
2022-05-07,浦东新区,峨山路280弄,121.526694,31.214418
2022-05-07,浦东新区,繁锦路688弄,121.586405,31.314649
2022-05-07,浦东新区,芳华路188弄,121.554924,31.195026
2022-05-07,浦东新区,芳华路229弄,121.554946,31.195795
2022-05-07,浦东新区,芳华路310弄,121.5568,31.195406
2022-05-07,浦东新区,芳华路411弄,121.55887,31.196975
2022-05-07,浦东新区,福山路40弄,121.523844,31.237227
2022-05-07,浦东新区,高宝路379弄,121.622205,31.291586
2022-05-07,浦东新区,高城路200弄,121.57435,31.333406
2022-05-07,浦东新区,高东镇珊黄村苍头宅,121.639973,31.330728
2022-05-07,浦东新区,高东镇先锋村卢家宅,121.633328,31.304402
2022-05-07,浦东新区,高东镇踊跃村黄家门,121.656162,31.305318
2022-05-07,浦东新区,高桥镇北新村,121.53891,31.353371
2022-05-07,浦东新区,高桥镇顾家圩村冯家宅,121.546501,31.364609
2022-05-07,浦东新区,高桥镇凌桥村仓房浜,121.532554,31.364244
2022-05-07,浦东新区,高桥镇南塘村龚家宅,121.568292,31.339055
2022-05-07,浦东新区,高桥镇南塘村顾家宅,121.568585,31.342882
2022-05-07,浦东新区,高桥镇西浜头,121.58241,31.341824
2022-05-07,浦东新区,高桥镇西新村尖角圩,121.517738,31.35583
2022-05-07,浦东新区,高桥镇新农村南项湾,121.555111,31.359152
2022-05-07,浦东新区,高桥镇新农村沈家宅,121.557972,31.356063
2022-05-07,浦东新区,高桥镇新益村严家江中,121.523064,31.357365
2022-05-07,浦东新区,高青路4567弄,121.562321,31.171796
2022-05-07,浦东新区,龚华路50弄,121.683428,31.266749
2022-05-07,浦东新区,崮山路968号,121.561694,31.235106
2022-05-07,浦东新区,光明路62弄,121.613423,31.334284
2022-05-07,浦东新区,海港大道美人蕉路交界口工地生活区,121.918604,30.878393
2022-05-07,浦东新区,海基三路海洋二路交界口工地生活区,121.917736,30.871647
2022-05-07,浦东新区,海鸣路98弄,121.672462,31.28271
2022-05-07,浦东新区,海纳路490弄,121.670919,31.291648
2022-05-07,浦东新区,海鹏路301弄,121.674059,31.289477
2022-05-07,浦东新区,海鹏路380弄,121.672279,31.288361
2022-05-07,浦东新区,海霞路685弄,121.746905,31.170493
2022-05-07,浦东新区,海阳路450弄,121.493511,31.15353
2022-05-07,浦东新区,航三路航吉路交界口工地生活区,121.607539,31.042479
2022-05-07,浦东新区,航头镇果园村,121.603187,31.024559
2022-05-07,浦东新区,航头镇鹤东村沿江,121.593345,31.06048
2022-05-07,浦东新区,航头镇梅园村,121.597016,30.990492
2022-05-07,浦东新区,合庆镇庆星村顾家宅,121.719111,31.234509
2022-05-07,浦东新区,合庆镇庆星村薛家宅,121.719111,31.234509
2022-05-07,浦东新区,合庆镇永红村丁家宅,121.705501,31.234282
2022-05-07,浦东新区,和炯路601弄,121.509727,31.124923
2022-05-07,浦东新区,和炯路77弄,121.501064,31.120729
2022-05-07,浦东新区,和融路55弄,121.500486,31.125703
2022-05-07,浦东新区,菏泽路567弄,121.59663,31.265213
2022-05-07,浦东新区,鹤立西路183号,121.586552,31.054961
2022-05-07,浦东新区,鹤永路751弄,121.604858,31.071962
2022-05-07,浦东新区,洪山路1889弄,121.511499,31.149674
2022-05-07,浦东新区,沪东路235号,121.581426,31.270272
2022-05-07,浦东新区,沪二小区,121.582569,31.268686
2022-05-07,浦东新区,沪南路3158弄,121.56569,31.12162
2022-05-07,浦东新区,沪南路3468弄,121.564863,31.117276
2022-05-07,浦东新区,花山路1001弄,121.580947,31.349804
2022-05-07,浦东新区,环龙路259弄,121.528202,31.204909
2022-05-07,浦东新区,环桥路1136弄,121.60582,31.136307
2022-05-07,浦东新区,环桥路1137弄,121.602255,31.135988
2022-05-07,浦东新区,荟萃新村,121.827899,30.902069
