date,district,address,lons,lats
2022-04-10,浦东新区,安基村朱家宅,121.203232,31.346909
2022-04-10,浦东新区,八灶村郭家宅,121.833234,31.484321
2022-04-10,浦东新区,八灶村倪家宅,121.289117,30.738783
2022-04-10,浦东新区,八灶村赵家宅,121.540789,30.95122
2022-04-10,浦东新区,白杨路199弄,121.555605,31.208224
2022-04-10,浦东新区,百曲村,121.526077,30.962523
2022-04-10,浦东新区,板泉路1821号工地生活区,121.527641,31.178665
2022-04-10,浦东新区,板泉路2000弄,121.532012,31.165295
2022-04-10,浦东新区,板泉路2101弄,121.531904,31.16715
2022-04-10,浦东新区,板泉路25号,121.509134,31.163729
2022-04-10,浦东新区,板泉路951号,121.500285,31.161641
2022-04-10,浦东新区,北艾路1077弄,121.534223,31.182488
2022-04-10,浦东新区,北艾路1200弄,121.533919,31.182783
2022-04-10,浦东新区,北艾路155弄,121.542909,31.185863
2022-04-10,浦东新区,北艾路1660弄,121.524025,31.180639
2022-04-10,浦东新区,北艾路1765弄,121.521767,31.178552
2022-04-10,浦东新区,北艾路73弄,121.545023,31.186102
2022-04-10,浦东新区,北蔡大街31弄,121.554896,31.187466
2022-04-10,浦东新区,北市街308弄,121.702533,31.199499
2022-04-10,浦东新区,北窑村,121.853784,30.925768
2022-04-10,浦东新区,北油车弄,121.578937,31.117217
2022-04-10,浦东新区,北中路10弄,121.552558,31.182598
2022-04-10,浦东新区,北中路278弄,121.556848,31.183063
2022-04-10,浦东新区,泵站路358号,121.57139,31.194776
2022-04-10,浦东新区,滨海一村傅家宅,121.756361,31.143456
2022-04-10,浦东新区,滨海一村朱家宅,121.203232,31.346909
2022-04-10,浦东新区,博成路903号工地生活区,121.337798,31.482194
2022-04-10,浦东新区,博华路1018弄,121.551099,31.170366
2022-04-10,浦东新区,博华路300弄,121.548427,31.179239
2022-04-10,浦东新区,博华路999弄,121.550815,31.170548
2022-04-10,浦东新区,博山东路111弄,121.563302,31.251234
2022-04-10,浦东新区,博山东路20弄,121.560013,31.245715
2022-04-10,浦东新区,博山东路41弄,121.55962,31.247532
2022-04-10,浦东新区,博山东路440弄,121.567987,31.251915
2022-04-10,浦东新区,博山路200弄,121.551855,31.244528
2022-04-10,浦东新区,博山路51弄,121.557061,31.245301
2022-04-10,浦东新区,博山路78弄,121.555247,31.244982
2022-04-10,浦东新区,博兴路1383弄,121.597831,31.268886
2022-04-10,浦东新区,博兴路1622号,121.601593,31.273686
2022-04-10,浦东新区,博兴路1663弄,121.600769,31.274186
2022-04-10,浦东新区,博兴路341弄,121.581417,31.267917
2022-04-10,浦东新区,博兴路462弄,121.581597,31.265408
2022-04-10,浦东新区,博兴路465弄,121.583688,31.267381
2022-04-10,浦东新区,博兴路616弄,121.58448,31.263629
2022-04-10,浦东新区,博兴路760弄,121.589234,31.263305
2022-04-10,浦东新区,博兴路799弄,121.59101,31.266876
2022-04-10,浦东新区,博兴路916弄,121.59159,31.26464
2022-04-10,浦东新区,博兴路986弄,121.591557,31.264613
2022-04-10,浦东新区,蔡路村蔡家宅,121.798289,31.078007
2022-04-10,浦东新区,曹黄村,121.690606,31.269226
2022-04-10,浦东新区,曹路镇顾家宅,121.667039,31.278414
2022-04-10,浦东新区,曹路镇罗家村,121.69134,31.28143
2022-04-10,浦东新区,柴场村,121.72611,31.18103
2022-04-10,浦东新区,长岛路1066弄,121.590004,31.259874
2022-04-10,浦东新区,长岛路1201弄,121.591517,31.261139
2022-04-10,浦东新区,长岛路1267弄,121.594192,31.262167
2022-04-10,浦东新区,长岛路1398弄,121.597602,31.263198
2022-04-10,浦东新区,长岛路1560弄,121.600996,31.264129
2022-04-10,浦东新区,长岛路588弄,121.58224,31.259839
2022-04-10,浦东新区,长岛路625弄,121.584265,31.260807
2022-04-10,浦东新区,长岛路638弄,121.583957,31.260092
2022-04-10,浦东新区,长岛路728弄,121.585826,31.258312
2022-04-10,浦东新区,长岛路823弄,121.587854,31.260611
2022-04-10,浦东新区,长岛路825弄,121.588783,31.260523
2022-04-10,浦东新区,长岛路85弄,121.580918,31.267719
2022-04-10,浦东新区,长岛路99号,121.577931,31.267405
