date,district,address,lons,lats
2022-05-11,浦东新区,北蔡镇南新村吴家宅,121.543294,31.166024
2022-05-11,浦东新区,北蔡镇卫行村,121.581392,31.164888
2022-05-11,浦东新区,北蔡镇五星村陈家队奚家宅,121.550453,31.156231
2022-05-11,浦东新区,北蔡镇御桥村印家队东印家圈,121.558022,31.168008
2022-05-11,浦东新区,北蔡镇中界村陆家队陆家宅,121.567958,31.189333
2022-05-11,浦东新区,博山东路20弄,121.560013,31.245715
2022-05-11,浦东新区,博山路11弄,121.55901,31.244754
2022-05-11,浦东新区,长岛路1267弄,121.594192,31.262167
2022-05-11,浦东新区,长清路693弄,121.491042,31.157702
2022-05-11,浦东新区,昌里路340弄,121.491933,31.173465
2022-05-11,浦东新区,陈春路620弄,121.546478,31.173033
2022-05-11,浦东新区,成山路24弄,121.487151,31.167477
2022-05-11,浦东新区,成山路668弄,121.513213,31.17049
2022-05-11,浦东新区,德平路1125弄,121.568479,31.242135
2022-05-11,浦东新区,峨山路605弄,121.521407,31.215101
2022-05-11,浦东新区,繁锦路688弄,121.586405,31.314649
2022-05-11,浦东新区,芳华路371弄,121.557784,31.196189
2022-05-11,浦东新区,芳华路63号,121.551825,31.194284
2022-05-11,浦东新区,高科西路2763弄,121.554636,31.190903
2022-05-11,浦东新区,高桥镇陆凌村瞿家宅,121.808693,31.028049
2022-05-11,浦东新区,高桥镇西浜头,121.58241,31.341824
2022-05-11,浦东新区,高青路4567弄,121.562321,31.171796
2022-05-11,浦东新区,崮山路968号,121.561694,31.235106
2022-05-11,浦东新区,海纳路129弄,121.670327,31.292052
2022-05-11,浦东新区,航头路988弄,121.600383,31.037139
2022-05-11,浦东新区,航头镇航东村航头,121.590554,31.027272
2022-05-11,浦东新区,合庆镇向东村马家宅,121.743897,31.233344
2022-05-11,浦东新区,和炯路77弄,121.501064,31.120729
2022-05-11,浦东新区,鹤永路751弄,121.604858,31.071962
2022-05-11,浦东新区,沪南路2688弄,121.566651,31.137251
2022-05-11,浦东新区,环桥路1137弄,121.602255,31.135988
2022-05-11,浦东新区,季景北路286弄,121.583065,31.342785
2022-05-11,浦东新区,济阳路65弄,121.480734,31.167125
